nuevo	nove
grande	grande
bueno	bon
último	ultime
mayor	major
nacional	national
social	social
mejor	melior
propio	proprie
importante	importante
público	public
alto	alte
político	politic
pequeño	parve
único	unic
largo	longe
humano	human
económico	economic
posible	possibile
general	general
internacional	international
diferente	differente
solo	sol
español	espaniol
principal	principal
necesario	necessari
próximo	proxime
distinto	distincte
claro	clar
siguiente	sequente
malo	mal
anterior	anterior
especial	special
natural	natural
cultural	cultural
bajo	basse
actual	actual
blanco	blanc
fuerte	forte
difícil	difficile
mundial	mundial
menor	minor
viejo	vetule
real	real
local	local
negro	nigre
europeo	europee
diverso	diverse
libre	libere
seguro	secur
común	commun
privado	private
central	central
popular	popular
dicho	dicte
físico	physic
superior	superior
joven	juvene
personal	personal
capaz	capace
antiguo	antique
histórico	historic
cierto	certe
técnico	technic
presente	presente
oficial	official
mexicano	mexican
fácil	facile
militar	militar
contrario	contrari
civil	civil
verdadero	ver
lleno	plen
suficiente	sufficiente
rápido	rapide
científico	scientific
directo	directe
completo	complete
interno	interne
fundamental	fundamental
comercial	commercial
familiar	familiar
amplio	ample
educativo	educative
vivo	vive
similar	similar
rojo	rubie
financiero	financiari
medio	medie
enorme	enorme
total	total
profesional	professional
adecuado	adequate
médico	medic
grave	grave
tradicional	traditional
electoral	electoral
básico	basic
igual	equal
duro	dur
profundo	profunde
final	final
municipal	municipal
inmediato	immediate
junto	juncte
argentino	argentin
peor	pejor
francés	francese
corto	curte
oscuro	obscur
estadounidense	statounitese
cercano	proxime
sexual	sexual
regional	regional
feliz	felice
positivo	positive
máximo	maxime
serio	serie
laboral	de labor
imposible	impossibile
simple	simple
pobre	povre
reciente	recente
extraño	estranie
ambiental	ambiental
específico	specific
normal	normal
moderno	moderne
urbano	urban
mínimo	minime
musical	musical
deportivo	sportive
federal	federal
frío	frigide
legal	legal
verde	verde
interesante	interessante
artístico	artistic
judicial	judicial
particular	particular
colombiano	colombian
previo	previe
cubano	cuban
pleno	plen
eléctrico	electric
tecnológico	technologic
abierto	aperte
global	global
infantil	infantil
absoluto	absolute
definitivo	definitive
complejo	complexe
estatal	statal
rico	ric
raro	rar
significativo	significative
sencillo	simple
perfecto	perfecte
permanente	permanente
religioso	religiose
activo	active
famoso	famose
numeroso	numerose
rural	rural
tranquilo	tranquille
extranjero	estranier
democrático	democratic
azul	blau
femenino	feminin
escaso	scarse
intenso	intense
puro	pur
universitario	universitari
original	original
exterior	exterior
seco	sic
digital	digital
alemán	german
literario	litterari
independiente	independente
sanitario	sanitari
electrónico	electronic
indígena	indigena
concreto	concrete
fiscal	fiscal
clásico	classic
evidente	evidente
individual	individual
colectivo	collective
negativo	negative
productivo	productive
doble	duple
anual	annual
efectivo	effective
habitual	habitual
inicial	initial
móvil	mobile
escolar	scholar
industrial	industrial
disponible	disponibile
diario	quotidian
jurídico	juridic
chileno	chilen
hermoso	gratiose
académico	academic
entero	integre
preciso	precise
breve	breve
norteamericano	nordamerican
externo	externe
derecho	derecte
múltiple	multiple
constante	constante
crítico	critic
primario	primari
institucional	institutional
autónomo	autonome
justo	juste
venezolano	venezuelan
correspondiente	correspondente
elevado	elevate
americano	american
futuro	futur
falso	false
británico	britannic
peligroso	periculose
triste	triste
italiano	italian
posterior	posterior
bello	belle
constitucional	constitutional
loco	folle
ambiente	ambiente
latinoamericano	latinoamerican
esencial	essential
mental	mental
policial	policiari
presidencial	presidential
consciente	consciente
ajeno	alien
administrativo	administrative
frecuente	frequente
latino	latin
secundario	secundari
lento	lente
nervioso	nervose
dispuesto	disponite
chino	chinese
relativo	relative
vacío	vacue
cotidiano	quotidian
contemporáneo	contemporanee
universal	universal
correcto	correcte
izquierdo	sinistre
excelente	excellente
existente	existente
útil	utile
moral	moral
inglés	anglese
integral	integral
extraordinario	extraordinari
católico	catholic
inferior	inferior
biológico	biologic
dominicano	dominican
agrícola	agricole
clínico	clinic
listo	preste
salvo	salve
solar	solar
limpio	munde
fresco	fresc
socialista	socialista
responsable	responsabile
caliente	calide
dulce	dulce
poderoso	potente
penal	penal
bonito	belle
extremo	extreme
orgánico	organic
turístico	touristic
continuo	continue
revolucionario	revolutionari
intelectual	intellectual
estratégico	strategic
complicado	complicate
probable	probabile
supremo	supreme
ejecutivo	executive
energético	energetic
genético	genetic
interior	interior
olímpico	olympic
comunitario	communitari
violento	violente
telefónico	telephonic
empresarial	corporative
formal	formal
ruso	russe
inmenso	immense
firme	firme
lejano	lontan
climático	climatic
creciente	crescente
fijo	fixe
fino	fin
amarillo	jalne
químico	chimic
legislativo	legislative
relevante	relevante
auténtico	authentic
vital	vital
sano	san
ecológico	ecologic
ciudadano	citatan
suave	suave
doméstico	domestic
masivo	massive
terrible	terribile
celular	cellular
brillante	brillante
sólido	solide
semejante	simile
contento	contente
santo	sancte
inteligente	intelligente
ilegal	illegal
espacial	spatial
aéreo	aeree
masculino	masculin
curioso	curiose
respectivo	respective
pesado	pesante
mediano	median
visual	visual
gubernamental	governamental
pendiente	pendente
desnudo	nude
brasileño	brasilian
juvenil	juvenil
práctico	practic
occidental	occidental
típico	typic
secreto	secrete
ligero	legier
nuclear	nuclear
peruano	peruan
eficaz	efficace
adicional	additional
débil	debile
ideal	ideal
eterno	eterne
notable	notabile
material	material
gratuito	gratuite
emocional	emotional
vigente	vigente
atractivo	attractive
temporal	temporal
maravilloso	meraviliose
vasco	basc
estrecho	stricte
estético	esthetic
teórico	theoric
muerto	morte
territorial	territorial
gris	gris
alimentario	alimentari
íntimo	intime
procedente	procedente
ancho	large
lógico	logic
marino	marin
creativo	creative
sucio	immunde
conjunto	conjuncte
cerrado	clause
solitario	solitari
catalán	catalan
digno	digne
operativo	operative
exacto	exacte
geográfico	geographic
radical	radical
teatral	theatral
cómodo	commode
alternativo	alternative
psicológico	psychologic
forestal	forestal
favorable	favorabile
consecutivo	consecutive
visible	visibile
exclusivo	exclusive
eficiente	efficiente
enfermo	malade
imprescindible	indispensabile
húmedo	humide
exitoso	succedite
delicado	delicate
cristiano	christian
excesivo	excessive
dramático	dramatic
increíble	incredibile
leve	leve
cuadrado	quadrate
oculto	occulte
valioso	valorose
virtual	virtual
desconocido	incognite
delgado	magre
presunto	presumite
barato	a bon mercato
espiritual	spiritual
proveniente	veniente
sagrado	sacrate
grueso	grosse
incapaz	incapace
temprano	precoce
nocturno	nocturne
divertido	amusante
oriental	oriental
africano	african
sensible	sensibile
mero	mer
agudo	acute
provincial	provincial
parlamentario	parlamentari
plástico	plastic
ideológico	ideologic
mágico	magic
artificial	artificial
estable	stabile
vegetal	vegetal
adulto	adulte
parcial	partial
saludable	salubre
inútil	inutile
avanzado	avantiate
convencional	conventional
variado	variate
espectacular	spectacular
japonés	japonese
liberal	liberal
tropical	tropical
regular	regular
monetario	monetari
severo	sever
elegante	elegante
urgente	urgente
extenso	extense
absurdo	absurde
decisivo	decisive
docente	docente
estructural	structural
dorado	dorate
cinematográfico	cinematographic
abundante	abundante
bancario	bancari
paralelo	parallel
corporal	corporal
crónico	chronic
lindo	belle
sostenible	sustenibile
simbólico	symbolic
organizador	organisante
gordo	grasse
preventivo	preventive
agradable	agradabile
chico	juvene
boliviano	bolivian
oportuno	opportun
competitivo	competitive
infinito	infinite
invisible	invisibile
obvio	obvie
opuesto	opposite
indispensable	indispensabile
mecánico	mechanic
inesperado	inexpectate
oral	oral
mensual	mensual
terrorista	terrorista
conveniente	conveniente
alegre	allegre
inevitable	inevitabile
fiel	fidel
vecino	vicin
comunista	communista
ético	ethic
materno	materne
animal	animal
aislado	insulate
ciego	cec
atento	attente
gráfico	graphic
petrolero	petroler
remoto	remote
transparente	transparente
seguido	sequite
conservador	conservator
voluntario	voluntari
potencial	potential
griego	grec
uruguayo	uruguayan
terrestre	terrestre
metropolitano	metropolitan
magnífico	magnific
republicano	republican
colonial	colonial
vulnerable	vulnerabile
tremendo	colossal
apropiado	appropriate
moderado	moderate
ecuatoriano	equatorian
corriente	currente
diplomático	diplomatic
incómodo	incommode
representativo	representative
sorprendente	surprendente
agresivo	aggressive
paraguayo	paraguayan
atlético	athletic
cerebral	cerebral
poético	poetic
estricto	stricte
redondo	rotunde
autonómico	autonome
favorito	favorite
restante	restante
sonoro	sonor
maduro	matur
tributario	tributari
informático	informatic
amable	amabile
misterioso	mysteriose
orgulloso	orgoliose
singular	singular
embarazado	gravide
divino	divin
obligatorio	obligatori
caro	car
potente	potente
inocente	innocente
doloroso	dolorose
romántico	romantic
funcional	functional
válido	valide
feo	fede
agropecuario	agricole
impresionante	impressionante
determinante	determinante
metálico	metallic
árabe	arabe
andino	andin
audiovisual	audiovisual
directivo	directive
fantástico	phantastic
perteneciente	pertinente
suelto	libere
satisfecho	satisfacte
complementario	complementari
sindical	syndical
madrileño	madrilen
precioso	preciose
excepcional	exceptional
terapéutico	therapeutic
característico	characteristic
dependiente	dependente
dominante	dominante
razonable	rationabile
automático	automatic
televisivo	televisive
idéntico	identic
experimental	experimental
guapo	belle
informativo	informative
maldito	maledicte
campesino	campestre
desesperado	desperate
considerable	considerabile
cálido	calide
encargado	incargate
valenciano	valencian
criminal	criminal
minero	minator
fotográfico	photographic
salvaje	salvage
arqueológico	archeologic
pedagógico	pedagogic
generoso	generose
dinámico	dynamic
célebre	celebre
agrario	agrari
bruto	brute
publicitario	publicitari
irregular	irregular
israelí	israelian
objetivo	objective
migratorio	migratori
amoroso	amorose
respiratorio	respiratori
solidario	solidari
quieto	quiete
silencioso	silentiose
conceptual	conceptual
progresivo	progressive
prolongado	prolongate
vertical	vertical
escénico	scenic
racional	rational
aparente	apparente
luminoso	luminose
contundente	contundente
departamental	departimental
insuficiente	insufficiente
humilde	humile
andaluz	andaluce
trasero	posterior
periodístico	jornalistic
trágico	tragic
informal	informal
sistemático	systematic
judío	judee
anónimo	anonyme
interminable	interminabile
mediático	mediatic
molesto	moleste
gigantesco	gigantesc
mutuo	mutue
hondo	profunde
soviético	sovietic
intermedio	intermedie
discreto	discrete
asiático	asiatic
cardiovascular	cardiovascular
mortal	mortal
sucesivo	successive
repleto	replete
estúpido	stupide
lateral	lateral
frágil	fragile
horrible	horribile
nutricional	nutritional
adverso	adverse
culpable	culpabile
legítimo	legitime
editorial	editorial
originario	originari
gallego	gallec
modesto	modeste
marítimo	maritime
cruel	cruel
amargo	amar
adolescente	adolescente
romano	roman
eventual	eventual
presupuestario	budgetari
marcado	marcate
equivalente	equivalente
pálido	pallide
noble	nobile
prioritario	prioritari
novedoso	novelle
líquido	liquide
indirecto	indirecte
óptimo	optime
obrero	obrer
prestigioso	prestigiose
lingüístico	linguistic
arquitectónico	architectonic
sincero	sincer
nacionalista	nationalista
sospechoso	suspiciose
centroamericano	centroamerican
capitalino	del capital
socioeconómico	socioeconomic
extra	extra
nativo	native
humanitario	humanitari
tonto	stupide
flaco	magre
costero	costari
privilegiado	privilegiate
farmacéutico	pharmaceutic
ordinario	ordinari
inmóvil	immobile
distante	distante
puntual	punctual
muscular	muscular
ridículo	ridicule
silvestre	silvestre
pertinente	pertinente
hospitalario	hospitalari
verbal	verbal
injusto	injuste
gigante	gigante
emergente	emergente
fronterizo	frontieric
pacífico	pacific
palestino	palestin
partidario	partidari
amistoso	amical
rubio	blonde
panamericano	panamerican
abstracto	abstracte
crudo	crude
étnico	ethnic
renovable	renovabile
polémico	polemic
narrativo	narrative
cívico	civic
sudamericano	sudamerican
inédito	inedite
filosófico	philosophic
confuso	confuse
defensivo	defensive
sutil	subtil
mixto	mixte
ausente	absente
preso	prisioner
peculiar	peculiar
innovador	innovator
explícito	explicite
elemental	elemental
sentimental	sentimental
superficial	superficial
cansado	fatigate
plano	plan
subterráneo	subterranee
inconsciente	inconsciente
tierno	tenere
corporativo	corporative
espontáneo	spontanee
optimista	optimista
vano	van
mítico	mythic
crucial	crucial
fatal	fatal
franco	franc
matemático	mathematic
asustado	espaventate
denso	dense
cruzado	cruciate
exótico	exotic
estadístico	statistic
reproductivo	reproductive
ambicioso	ambitiose
bilateral	bilateral
recto	recte
espeso	spisse
artesanal	artisanal
variable	variabile
consistente	consistente
estudiantil	de studiante
riguroso	rigorose
cognitivo	cognitive
vial	viari
intensivo	intensive
ofensivo	offensive
aburrido	enoiose
brutal	brutal
realista	realista
tenso	tense
borracho	inebriate
recomendable	recommendabile
insoportable	insupportabile
natal	natal
ilícito	illicite
continental	continental
accesible	accessibile
simpático	sympathic
imaginario	imaginari
costoso	costose
sanguíneo	sanguinee
horizontal	horizontal
acorde	conforme
quirúrgico	chirurgic
maestro	maestro
clandestino	clandestin
diminuto	minuscule
emblemático	emblematic
detallado	detaliate
tímido	timide
harto	satis
neto	nette
puto	putan
sonriente	surridente
alimenticio	alimentari
primitivo	primitive
hispano	hispan
potable	potabile
exquisito	exquisite
inmobiliario	immobiliari
tibio	tepide
criollo	creol
portugués	portugese
salarial	salarial
temático	thematic
resistente	resistente
afectivo	affective
sofisticado	sophisticate
semanal	septimanal
islámico	islamic
ansioso	anxie
subjetivo	subjective
monumental	monumental
furioso	furiose
delicioso	deliciose
llamativo	vistose
intacto	intacte
sereno	seren
inquieto	inquiete
tóxico	toxic
sumo	summe
amigo	amic
valiente	valente
rígido	rigide
blando	blande
preocupante	preoccupante
preliminar	preliminar
pronto	tosto
coherente	coherente
celeste	celeste
animado	animate
flexible	flexibile
inminente	imminente
porteño	portuari
contradictorio	contradictori
referente	referente
exigente	exigente
salvadoreño	salvadorian
innecesario	inutile
susceptible	susceptibile
vasto	vaste
insólito	insolite
indiferente	indifferente
sustentable	sustenibile
bolivariano	bolivarian
arterial	arterial
aceptable	acceptabile
magnético	magnetic
normativo	normative
participativo	participative
erótico	erotic
indio	indian
mediterráneo	mediterranee
roto	rupte
simultáneo	simultanee
repentino	subite
nulo	nulle
notorio	notori
trabajador	laborante
desagradable	disagradabile
compatible	compatibile
callado	tacite
impecable	impeccabile
callejero	de strata
molecular	molecular
precario	precari
provisional	provisional
alcohólico	alcoholic
protector	protector
estupendo	stupende
térmico	thermic
genial	genial
inadecuado	inadequate
sustancial	substantial
hondureño	hondurese
documental	documental
incierto	incerte
demócrata	democrate
millonario	millionari
poblacional	populational
iberoamericano	iberoamerican
asistencial	assistential
apto	apte
lamentable	lamentabile
acuático	aquatic
honesto	honeste
rentable	rentabile
irónico	ironic
metodológico	methodologic
viable	viabile
rosa	rosate
